_time;_value;_field;_time;_value;_field;;_time;_value;_field;_time;_value;_field
2022-05-09T16:52:02.1Z;11.66;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;12.18;Accelerazione_Max_SX;;2022-05-09T16:52:01.9Z;10.94;Accelerazione_Media_DX;2022-05-09T16:52:00.9Z;10.47;Accelerazione_Media_SX
2022-05-09T16:52:02.9Z;11;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.5;Accelerazione_Max_SX;;2022-05-09T16:52:02.6Z;10.77;Accelerazione_Media_DX;2022-05-09T16:52:02.1Z;10.27;Accelerazione_Media_SX
2022-05-09T16:52:03.7Z;11.44;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.46;Accelerazione_Max_SX;;2022-05-09T16:52:03.5Z;10.94;Accelerazione_Media_DX;2022-05-09T16:52:03Z;10.31;Accelerazione_Media_SX
2022-05-09T16:52:04.1Z;11.44;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;11.22;Accelerazione_Max_SX;;2022-05-09T16:52:03.9Z;10.94;Accelerazione_Media_DX;2022-05-09T16:52:03.8Z;10.19;Accelerazione_Media_SX
2022-05-09T16:52:04.8Z;11.04;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;11.06;Accelerazione_Max_SX;;2022-05-09T16:52:04.4Z;10.89;Accelerazione_Media_DX;2022-05-09T16:52:04.8Z;10.24;Accelerazione_Media_SX
2022-05-09T16:52:05.6Z;11.3;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.27;Accelerazione_Max_SX;;2022-05-09T16:52:05.4Z;10.73;Accelerazione_Media_DX;2022-05-09T16:52:05.5Z;9.16;Accelerazione_Media_SX
2022-05-09T16:52:06.4Z;12.01;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;13.77;Accelerazione_Max_SX;;2022-05-09T16:52:06.1Z;11.7;Accelerazione_Media_DX;2022-05-09T16:52:06.4Z;11.34;Accelerazione_Media_SX
2022-05-09T16:52:07.2Z;12.8;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;11.33;Accelerazione_Max_SX;;2022-05-09T16:52:06.9Z;10.64;Accelerazione_Media_DX;2022-05-09T16:52:07.4Z;8.37;Accelerazione_Media_SX
2022-05-09T16:52:08.1Z;11.37;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.06;Accelerazione_Max_SX;;2022-05-09T16:52:07.8Z;10.83;Accelerazione_Media_DX;2022-05-09T16:52:08.7Z;8.51;Accelerazione_Media_SX
2022-05-09T16:52:09.4Z;16.22;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;11.62;Accelerazione_Max_SX;;2022-05-09T16:52:08.9Z;12.75;Accelerazione_Media_DX;2022-05-09T16:52:09.9Z;10.16;Accelerazione_Media_SX
